Grade Distribution By Course,,,
,,,
,,,
Academic Learning Services,,,
Academic Learning Services,,,
,,,
Grade: C,  Credits: 4,  Student Count: 1,  Pct: 1.96
Grade: C+,  Credits: 4,  Student Count: 5,  Pct: 9.8
Grade: C-,  Credits: 4,  Student Count: 2,  Pct: 3.92
Grade: F,  Credits: 4,  Student Count: 1,  Pct: 1.96
Grade: S,  Credits: 4,  Student Count: 1,  Pct: 1.96
Grade: W,  Credits: 4,  Student Count: 8,  Pct: 15.69
,,,
Course: OC 103  Student Total: 22  Credit Hours: 4  Grade Pts: 186.8  GPA Hours: 64  GPA: 2.92,,,
Grade: A,  Credits: 4,  Student Count: 3,  Pct: 13.64
Grade: A-,  Credits: 4,  Student Count: 2,  Pct: 9.09
Grade: B,  Credits: 4,  Student Count: 2,  Pct: 9.09
Grade: B+,  Credits: 4,  Student Count: 4,  Pct: 18.18
Grade: B-,  Credits: 4,  Student Count: 1,  Pct: 4.55
Grade: C,  Credits: 4,  Student Count: 1,  Pct: 4.55
Grade: C-,  Credits: 4,  Student Count: 2,  Pct: 9.09
Grade: F,  Credits: 4,  Student Count: 1,  Pct: 4.55
Grade: S,  Credits: 4,  Student Count: 4,  Pct: 18.18
Grade: W,  Credits: 4,  Student Count: 2,  Pct: 9.09
,,,
Course: AG 111  Student Total: 16  Credit Hours: 3  Grade Pts: 127.2  GPA Hours: 42  GPA: 3.03,,,
Grade: A,  Credits: 3,  Student Count: 7,  Pct: 43.75
Grade: A-,  Credits: 3,  Student Count: 1,  Pct: 6.25
Grade: B+,  Credits: 3,  Student Count: 1,  Pct: 6.25
Grade: B-,  Credits: 3,  Student Count: 2,  Pct: 12.5
Grade: C,  Credits: 3,  Student Count: 1,  Pct: 6.25
Grade: F,  Credits: 3,  Student Count: 2,  Pct: 12.5
Grade: W,  Credits: 3,  Student Count: 2,  Pct: 12.5
,,,
Course: AG 301  Student Total: 59  Credit Hours: 3  Grade Pts: 587.4  GPA Hours: 165  GPA: 3.56,,,
Grade: A,  Credits: 3,  Student Count: 38,  Pct: 64.41
Grade: A-,  Credits: 3,  Student Count: 6,  Pct: 10.17
Grade: B,  Credits: 3,  Student Count: 1,  Pct: 1.69
Grade: B+,  Credits: 3,  Student Count: 3,  Pct: 5.08
Grade: B-,  Credits: 3,  Student Count: 2,  Pct: 3.39
Grade: C+,  Credits: 3,  Student Count: 1,  Pct: 1.69
Grade: D,  Credits: 3,  Student Count: 1,  Pct: 1.69
Grade: F,  Credits: 3,  Student Count: 3,  Pct: 5.08
Grade: W,  Credits: 3,  Student Count: 4,  Pct: 6.78
,,,
Course: AG 311  Student Total: 50  Credit Hours: 3  Grade Pts: 368.4  GPA Hours: 144  GPA: 2.56,,,
Grade: A,  Credits: 3,  Student Count: 5,  Pct: 10
Grade: A-,  Credits: 3,  Student Count: 5,  Pct: 10
Grade: B,  Credits: 3,  Student Count: 11,  Pct: 22
Grade: B+,  Credits: 3,  Student Count: 3,  Pct: 6
Grade: B-,  Credits: 3,  Student Count: 5,  Pct: 10
Grade: C,  Credits: 3,  Student Count: 6,  Pct: 12
Grade: C+,  Credits: 3,  Student Count: 1,  Pct: 2
Grade: C-,  Credits: 3,  Student Count: 7,  Pct: 14
Grade: D,  Credits: 3,  Student Count: 1,  Pct: 2
Grade: D-,  Credits: 3,  Student Count: 1,  Pct: 2
Grade: F,  Credits: 3,  Student Count: 3,  Pct: 6
Grade: W,  Credits: 3,  Student Count: 2,  Pct: 4
,,,
Course: AG 351  Student Total: 31  Credit Hours: 3  Grade Pts: 266.1  GPA Hours: 84  GPA: 3.17,,,
Grade: A,  Credits: 3,  Student Count: 17,  Pct: 54.84
Grade: A-,  Credits: 3,  Student Count: 3,  Pct: 9.68
Grade: B,  Credits: 3,  Student Count: 1,  Pct: 3.23
Grade: B+,  Credits: 3,  Student Count: 2,  Pct: 6.45
Grade: F,  Credits: 3,  Student Count: 5,  Pct: 16.13
Grade: W,  Credits: 3,  Student Count: 3,  Pct: 9.68
,,,
Course: AG 391  Student Total: 30  Credit Hours: 3  Grade Pts: 239.4  GPA Hours: 81  GPA: 2.96,,,
Grade: A,  Credits: 3,  Student Count: 13,  Pct: 43.33
Grade: A-,  Credits: 3,  Student Count: 4,  Pct: 13.33
Grade: B,  Credits: 3,  Student Count: 2,  Pct: 6.67
Grade: C,  Credits: 3,  Student Count: 1,  Pct: 3.33
Grade: C+,  Credits: 3,  Student Count: 1,  Pct: 3.33
Grade: C-,  Credits: 3,  Student Count: 1,  Pct: 3.33
Grade: D,  Credits: 3,  Student Count: 1,  Pct: 3.33
Grade: F,  Credits: 3,  Student Count: 4,  Pct: 13.33
Grade: W,  Credits: 3,  Student Count: 3,  Pct: 10
,,,
Course: AG 410  Student Total: 24  Credit Hours: Variable  Grade Pts: 990.1  GPA Hours: 256  GPA: 3.87,,,
Grade: A,  Credits: 4,  Student Count: 2,  Pct: 8.33
Grade: A,  Credits: 6,  Student Count: 1,  Pct: 4.17
Grade: A,  Credits: 7,  Student Count: 1,  Pct: 4.17
Grade: A-,  Credits: 9,  Student Count: 1,  Pct: 4.17
Grade: A,  Credits: 10,  Student Count: 1,  Pct: 4.17
Grade: A,  Credits: 12,  Student Count: 14,  Pct: 58.33
Grade: A-,  Credits: 12,  Student Count: 2,  Pct: 8.33
Grade: B+,  Credits: 12,  Student Count: 1,  Pct: 4.17
Grade: B-,  Credits: 12,  Student Count: 1,  Pct: 4.17
,,,
Course: AG 412  Student Total: 22  Credit Hours: 3  Grade Pts: 205.2  GPA Hours: 60  GPA: 3.42,,,
Grade: A,  Credits: 3,  Student Count: 13,  Pct: 59.09
Grade: A-,  Credits: 3,  Student Count: 1,  Pct: 4.55
Grade: B,  Credits: 3,  Student Count: 3,  Pct: 13.64
Grade: C,  Credits: 3,  Student Count: 1,  Pct: 4.55
