Grade Distribution By Course,,,
,,,
College of Ag,,,
Agricultural Education,,,
,,,
,,,
Course: RNG 352  Student Total: 17  Credit Hours: 3  Grade Pts: 96.3  GPA Hours: 42  GPA: 2.29,,,
Grade: A,  Credits: 3,  Student Count: 4,  Pct: 23.53
Grade: A-,  Credits: 3,  Student Count: 2,  Pct: 11.76
Grade: B,  Credits: 3,  Student Count: 1,  Pct: 5.88
Grade: B-,  Credits: 3,  Student Count: 1,  Pct: 5.88
Grade: C+,  Credits: 3,  Student Count: 1,  Pct: 5.88
Grade: D-,  Credits: 3,  Student Count: 1,  Pct: 5.88
Grade: F,  Credits: 3,  Student Count: 4,  Pct: 23.53
Grade: U,  Credits: 3,  Student Count: 1,  Pct: 5.88
Grade: W,  Credits: 3,  Student Count: 2,  Pct: 11.76
,,,
Course: RNG 353  Student Total: 88  Credit Hours: 4  Grade Pts: 1093.2  GPA Hours: 332  GPA: 3.29,,,
Grade: A,  Credits: 4,  Student Count: 30,  Pct: 34.09
Grade: A-,  Credits: 4,  Student Count: 10,  Pct: 11.36
Grade: B,  Credits: 4,  Student Count: 18,  Pct: 20.45
Grade: B+,  Credits: 4,  Student Count: 13,  Pct: 14.77
Grade: B-,  Credits: 4,  Student Count: 3,  Pct: 3.41
Grade: C,  Credits: 4,  Student Count: 4,  Pct: 4.55
Grade: C+,  Credits: 4,  Student Count: 1,  Pct: 1.14
Grade: D,  Credits: 4,  Student Count: 1,  Pct: 1.14
Grade: F,  Credits: 4,  Student Count: 3,  Pct: 3.41
Grade: I/F,  Credits: 4,  Student Count: 1,  Pct: 1.14
Grade: S,  Credits: 4,  Student Count: 3,  Pct: 3.41
Grade: W,  Credits: 4,  Student Count: 1,  Pct: 1.14
,,,
Course: RNG 442  Student Total: 33  Credit Hours: 4  Grade Pts: 337.6  GPA Hours: 120  GPA: 2.81,,,
Grade: A,  Credits: 4,  Student Count: 7,  Pct: 21.21
Grade: A-,  Credits: 4,  Student Count: 7,  Pct: 21.21
Grade: B,  Credits: 4,  Student Count: 1,  Pct: 3.03
Grade: B+,  Credits: 4,  Student Count: 2,  Pct: 6.06
Grade: B-,  Credits: 4,  Student Count: 2,  Pct: 6.06
Grade: C,  Credits: 4,  Student Count: 2,  Pct: 6.06
Grade: C+,  Credits: 4,  Student Count: 5,  Pct: 15.15
Grade: F,  Credits: 4,  Student Count: 4,  Pct: 12.12
Grade: S,  Credits: 4,  Student Count: 2,  Pct: 6.06
Grade: W,  Credits: 4,  Student Count: 1,  Pct: 3.03
,,,
College of Agricultural Sci,,,
Applied Economics,,,
,,,
Course: AEC 211  Student Total: 23  Credit Hours: 4  Grade Pts: 250.8  GPA Hours: 80  GPA: 3.14,,,
Grade: A,  Credits: 4,  Student Count: 3,  Pct: 13.04
Grade: A-,  Credits: 4,  Student Count: 4,  Pct: 17.39
Grade: B,  Credits: 4,  Student Count: 3,  Pct: 13.04
Grade: B+,  Credits: 4,  Student Count: 4,  Pct: 17.39
Grade: B-,  Credits: 4,  Student Count: 2,  Pct: 8.7
Grade: C,  Credits: 4,  Student Count: 1,  Pct: 4.35
Grade: C+,  Credits: 4,  Student Count: 2,  Pct: 8.7
Grade: C-,  Credits: 4,  Student Count: 1,  Pct: 4.35
Grade: S,  Credits: 4,  Student Count: 1,  Pct: 4.35
Grade: W,  Credits: 4,  Student Count: 2,  Pct: 8.7
,,,
Course: AEC 221  Student Total: 48  Credit Hours: 3  Grade Pts: 492.3  GPA Hours: 138  GPA: 3.57,,,
Grade: A,  Credits: 3,  Student Count: 32,  Pct: 66.67
Grade: A-,  Credits: 3,  Student Count: 2,  Pct: 4.17
Grade: B,  Credits: 3,  Student Count: 2,  Pct: 4.17
Grade: B+,  Credits: 3,  Student Count: 4,  Pct: 8.33
Grade: B-,  Credits: 3,  Student Count: 2,  Pct: 4.17
Grade: C-,  Credits: 3,  Student Count: 1,  Pct: 2.08
Grade: D,  Credits: 3,  Student Count: 1,  Pct: 2.08
Grade: D-,  Credits: 3,  Student Count: 2,  Pct: 4.17
Grade: S,  Credits: 3,  Student Count: 1,  Pct: 2.08
Grade: W,  Credits: 3,  Student Count: 1,  Pct: 2.08
,,,
Course: AEC 250  Student Total: 98  Credit Hours: 3  Grade Pts: 880.2  GPA Hours: 246  GPA: 3.58,,,
Grade: A,  Credits: 3,  Student Count: 32,  Pct: 32.65
Grade: A-,  Credits: 3,  Student Count: 24,  Pct: 24.49
Grade: B,  Credits: 3,  Student Count: 7,  Pct: 7.14
Grade: B+,  Credits: 3,  Student Count: 14,  Pct: 14.29
Grade: B-,  Credits: 3,  Student Count: 2,  Pct: 2.04
Grade: C,  Credits: 3,  Student Count: 2,  Pct: 2.04
Grade: F,  Credits: 3,  Student Count: 1,  Pct: 1.02
Grade: S,  Credits: 3,  Student Count: 9,  Pct: 9.18
Grade: W,  Credits: 3,  Student Count: 7,  Pct: 7.14
,,,
Course: AEC 253  Student Total: 55  Credit Hours: 4  Grade Pts: 674  GPA Hours: 204  GPA: 3.3,,,
Grade: A,  Credits: 4,  Student Count: 32,  Pct: 58.18
Grade: B,  Credits: 4,  Student Count: 7,  Pct: 12.73
Grade: B+,  Credits: 4,  Student Count: 3,  Pct: 5.45
Grade: C,  Credits: 4,  Student Count: 3,  Pct: 5.45
Grade: C+,  Credits: 4,  Student Count: 1,  Pct: 1.82
Grade: D+,  Credits: 4,  Student Count: 1,  Pct: 1.82
Grade: F,  Credits: 4,  Student Count: 4,  Pct: 7.27
Grade: S,  Credits: 4,  Student Count: 1,  Pct: 1.82
Grade: U,  Credits: 4,  Student Count: 1,  Pct: 1.82
Grade: W,  Credits: 4,  Student Count: 2,  Pct: 3.64
,,,
Course: AEC 313  Student Total: 23  Credit Hours: 4  Grade Pts: 296.8  GPA Hours: 80  GPA: 3.71,,,
Grade: A,  Credits: 4,  Student Count: 7,  Pct: 30.43
Grade: A-,  Credits: 4,  Student Count: 9,  Pct: 39.13
Grade: B,  Credits: 4,  Student Count: 1,  Pct: 4.35
Grade: B+,  Credits: 4,  Student Count: 3,  Pct: 13.04
Grade: S,  Credits: 4,  Student Count: 1,  Pct: 4.35
Grade: U,  Credits: 4,  Student Count: 2,  Pct: 8.7
,,,
Course: AEC 351  Student Total: 38  Credit Hours: 3  Grade Pts: 312.3  GPA Hours: 105  GPA: 2.97,,,
Grade: A,  Credits: 3,  Student Count: 15,  Pct: 39.47
Grade: A-,  Credits: 3,  Student Count: 3,  Pct: 7.89
Grade: B,  Credits: 3,  Student Count: 3,  Pct: 7.89
Grade: B+,  Credits: 3,  Student Count: 2,  Pct: 5.26
Grade: B-,  Credits: 3,  Student Count: 3,  Pct: 7.89
Grade: C,  Credits: 3,  Student Count: 1,  Pct: 2.63
Grade: C+,  Credits: 3,  Student Count: 2,  Pct: 5.26
Grade: C-,  Credits: 3,  Student Count: 1,  Pct: 2.63
Grade: D,  Credits: 3,  Student Count: 1,  Pct: 2.63
Grade: F,  Credits: 3,  Student Count: 4,  Pct: 10.53
Grade: S,  Credits: 3,  Student Count: 2,  Pct: 5.26
Grade: W,  Credits: 3,  Student Count: 1,  Pct: 2.63
,,,
Course: AEC 352  Student Total: 64  Credit Hours: 3  Grade Pts: 481.8  GPA Hours: 150  GPA: 3.21,,,
Grade: A,  Credits: 3,  Student Count: 23,  Pct: 35.94
Grade: A-,  Credits: 3,  Student Count: 2,  Pct: 3.13
Grade: B,  Credits: 3,  Student Count: 5,  Pct: 7.81
Grade: B+,  Credits: 3,  Student Count: 8,  Pct: 12.5
Grade: B-,  Credits: 3,  Student Count: 3,  Pct: 4.69
Grade: C,  Credits: 3,  Student Count: 2,  Pct: 3.13
