Grade Distribution By Course,,,
,,,
,,,
Grade: A-,  Credits: 3,  Student Count: 5,  Pct: 23.81
Grade: B,  Credits: 3,  Student Count: 2,  Pct: 9.52
Grade: B+,  Credits: 3,  Student Count: 3,  Pct: 14.29
Grade: B-,  Credits: 3,  Student Count: 2,  Pct: 9.52
Grade: C,  Credits: 3,  Student Count: 1,  Pct: 4.76
Grade: C+,  Credits: 3,  Student Count: 1,  Pct: 4.76
Grade: D-,  Credits: 3,  Student Count: 1,  Pct: 4.76
Grade: F,  Credits: 3,  Student Count: 1,  Pct: 4.76
Grade: W,  Credits: 3,  Student Count: 1,  Pct: 4.76
,,,
Course: LEAD 442  Student Total: 23  Credit Hours: 3  Grade Pts: 213.3  GPA Hours: 60  GPA: 3.56,,,
Grade: A,  Credits: 3,  Student Count: 9,  Pct: 39.13
Grade: A-,  Credits: 3,  Student Count: 5,  Pct: 21.74
Grade: B,  Credits: 3,  Student Count: 1,  Pct: 4.35
Grade: B+,  Credits: 3,  Student Count: 2,  Pct: 8.7
Grade: B-,  Credits: 3,  Student Count: 1,  Pct: 4.35
Grade: C,  Credits: 3,  Student Count: 1,  Pct: 4.35
Grade: C+,  Credits: 3,  Student Count: 1,  Pct: 4.35
Grade: W,  Credits: 3,  Student Count: 3,  Pct: 13.04
,,,
College of Agricultural Sci,,,
Agriculture, General,,
,,,
Course: AGRI 411  Student Total: 35  Credit Hours: 3  Grade Pts: 370.8  GPA Hours: 99  GPA: 3.75,,,
Grade: A,  Credits: 3,  Student Count: 23,  Pct: 65.71
Grade: A-,  Credits: 3,  Student Count: 2,  Pct: 5.71
Grade: B,  Credits: 3,  Student Count: 3,  Pct: 8.57
Grade: B+,  Credits: 3,  Student Count: 4,  Pct: 11.43
Grade: C,  Credits: 3,  Student Count: 1,  Pct: 2.86
Grade: S,  Credits: 3,  Student Count: 2,  Pct: 5.71
,,,
College of Agricultural Sci,,,
Animal and Rangeland Sci,,,
,,,
Course: ANS 121  Student Total: 101  Credit Hours: 4  Grade Pts: 1217.6  GPA Hours: 356  GPA: 3.42,,,
Grade: A,  Credits: 4,  Student Count: 34,  Pct: 33.66
Grade: A-,  Credits: 4,  Student Count: 15,  Pct: 14.85
Grade: AUD,  Credits: 4,  Student Count: 1,  Pct: .99
Grade: B,  Credits: 4,  Student Count: 11,  Pct: 10.89
Grade: B+,  Credits: 4,  Student Count: 12,  Pct: 11.88
Grade: B-,  Credits: 4,  Student Count: 9,  Pct: 8.91
Grade: C,  Credits: 4,  Student Count: 2,  Pct: 1.98
Grade: C+,  Credits: 4,  Student Count: 3,  Pct: 2.97
Grade: C-,  Credits: 4,  Student Count: 3,  Pct: 2.97
Grade: S,  Credits: 4,  Student Count: 10,  Pct: 9.9
Grade: W,  Credits: 4,  Student Count: 1,  Pct: .99
,,,
Course: ANS 280  Student Total: 36  Credit Hours: 4  Grade Pts: 445.2  GPA Hours: 132  GPA: 3.37,,,
Grade: A,  Credits: 4,  Student Count: 12,  Pct: 33.33
Grade: A-,  Credits: 4,  Student Count: 10,  Pct: 27.78
Grade: B,  Credits: 4,  Student Count: 5,  Pct: 13.89
Grade: B+,  Credits: 4,  Student Count: 1,  Pct: 2.78
Grade: C,  Credits: 4,  Student Count: 2,  Pct: 5.56
Grade: C+,  Credits: 4,  Student Count: 1,  Pct: 2.78
Grade: C-,  Credits: 4,  Student Count: 1,  Pct: 2.78
Grade: F,  Credits: 4,  Student Count: 1,  Pct: 2.78
Grade: W,  Credits: 4,  Student Count: 3,  Pct: 8.33
,,,
Course: ANS 311  Student Total: 64  Credit Hours: 3  Grade Pts: 516.9  GPA Hours: 171  GPA: 3.02,,,
Grade: A,  Credits: 3,  Student Count: 9,  Pct: 14.06
Grade: A-,  Credits: 3,  Student Count: 12,  Pct: 18.75
Grade: B,  Credits: 3,  Student Count: 8,  Pct: 12.5
Grade: B+,  Credits: 3,  Student Count: 8,  Pct: 12.5
Grade: B-,  Credits: 3,  Student Count: 7,  Pct: 10.94
Grade: C,  Credits: 3,  Student Count: 2,  Pct: 3.13
Grade: C+,  Credits: 3,  Student Count: 4,  Pct: 6.25
Grade: C-,  Credits: 3,  Student Count: 4,  Pct: 6.25
Grade: D+,  Credits: 3,  Student Count: 2,  Pct: 3.13
Grade: F,  Credits: 3,  Student Count: 1,  Pct: 1.56
Grade: W,  Credits: 3,  Student Count: 7,  Pct: 10.94
,,,
