Grade Distribution By Course,,,
,,,
,,,
Academic Learning Services,,,
Academic Learning Services,,,
,,,
Grade: C+,  Credits: 3,  Student Count: 1,  Pct: 3.03
Grade: W,  Credits: 3,  Student Count: 2,  Pct: 6.06
,,,
Course: GEO 495  Student Total: 14  Credit Hours: 6  Grade Pts: 273  GPA Hours: 84  GPA: 3.25,,,
Grade: A,  Credits: 6,  Student Count: 3,  Pct: 21.43
Grade: A-,  Credits: 6,  Student Count: 4,  Pct: 28.57
Grade: B,  Credits: 6,  Student Count: 4,  Pct: 28.57
Grade: B+,  Credits: 6,  Student Count: 1,  Pct: 7.14
Grade: C-,  Credits: 6,  Student Count: 2,  Pct: 14.29
,,,
Coll of Earth  Ocean and Atmos,,,
Oceanography,,,
,,,
Course: ATS 201  Student Total: 67  Credit Hours: 4  Grade Pts: 802  GPA Hours: 248  GPA: 3.23,,,
Grade: A,  Credits: 4,  Student Count: 33,  Pct: 49.25
Grade: A-,  Credits: 4,  Student Count: 5,  Pct: 7.46
Grade: B,  Credits: 4,  Student Count: 6,  Pct: 8.96
Grade: B+,  Credits: 4,  Student Count: 5,  Pct: 7.46
Grade: B-,  Credits: 4,  Student Count: 1,  Pct: 1.49
Grade: C,  Credits: 4,  Student Count: 3,  Pct: 4.48
Grade: C-,  Credits: 4,  Student Count: 4,  Pct: 5.97
Grade: F,  Credits: 4,  Student Count: 5,  Pct: 7.46
Grade: S,  Credits: 4,  Student Count: 1,  Pct: 1.49
Grade: W,  Credits: 4,  Student Count: 4,  Pct: 5.97
,,,
Course: OC 201  Student Total: 53  Credit Hours: 4  Grade Pts: 589.6  GPA Hours: 188  GPA: 3.14,,,
Grade: A,  Credits: 4,  Student Count: 23,  Pct: 43.4
Grade: A-,  Credits: 4,  Student Count: 3,  Pct: 5.66
Grade: B,  Credits: 4,  Student Count: 8,  Pct: 15.09
Grade: B+,  Credits: 4,  Student Count: 1,  Pct: 1.89
Grade: B-,  Credits: 4,  Student Count: 1,  Pct: 1.89
Grade: C,  Credits: 4,  Student Count: 4,  Pct: 7.55
Grade: C+,  Credits: 4,  Student Count: 2,  Pct: 3.77
Grade: C-,  Credits: 4,  Student Count: 1,  Pct: 1.89
Grade: F,  Credits: 4,  Student Count: 4,  Pct: 7.55
Grade: S,  Credits: 4,  Student Count: 1,  Pct: 1.89
Grade: W,  Credits: 4,  Student Count: 5,  Pct: 9.43
,,,
Course: OC 332  Student Total: 10  Credit Hours: 3  Grade Pts: 99  GPA Hours: 30  GPA: 3.3,,,
Grade: A,  Credits: 3,  Student Count: 2,  Pct: 20
Grade: A-,  Credits: 3,  Student Count: 1,  Pct: 10
Grade: B,  Credits: 3,  Student Count: 2,  Pct: 20
Grade: B+,  Credits: 3,  Student Count: 3,  Pct: 30
Grade: B-,  Credits: 3,  Student Count: 2,  Pct: 20
,,,
Course: OC 440  Student Total: 14  Credit Hours: 4  Grade Pts: 219.2  GPA Hours: 56  GPA: 3.91,,,
Grade: A,  Credits: 4,  Student Count: 10,  Pct: 71.43
Grade: A-,  Credits: 4,  Student Count: 4,  Pct: 28.57
,,,
Course: AG 301  Student Total: 56  Credit Hours: 3  Grade Pts: 488.4  GPA Hours: 138  GPA: 3.54,,,
Grade: A,  Credits: 3,  Student Count: 31,  Pct: 55.36
Grade: A-,  Credits: 3,  Student Count: 6,  Pct: 10.71
Grade: B,  Credits: 3,  Student Count: 1,  Pct: 1.79
Grade: B+,  Credits: 3,  Student Count: 2,  Pct: 3.57
Grade: B-,  Credits: 3,  Student Count: 1,  Pct: 1.79
Grade: C,  Credits: 3,  Student Count: 1,  Pct: 1.79
Grade: C+,  Credits: 3,  Student Count: 1,  Pct: 1.79
Grade: F,  Credits: 3,  Student Count: 3,  Pct: 5.36
Grade: I/B,  Credits: 3,  Student Count: 2,  Pct: 3.57
Grade: S,  Credits: 3,  Student Count: 1,  Pct: 1.79
Grade: W,  Credits: 3,  Student Count: 7,  Pct: 12.5
,,,
Course: AG 311  Student Total: 52  Credit Hours: 3  Grade Pts: 522  GPA Hours: 144  GPA: 3.63,,,
Grade: A,  Credits: 3,  Student Count: 34,  Pct: 65.38
Grade: A-,  Credits: 3,  Student Count: 4,  Pct: 7.69
Grade: B,  Credits: 3,  Student Count: 1,  Pct: 1.92
Grade: B+,  Credits: 3,  Student Count: 5,  Pct: 9.62
Grade: C,  Credits: 3,  Student Count: 1,  Pct: 1.92
Grade: C-,  Credits: 3,  Student Count: 1,  Pct: 1.92
Grade: F,  Credits: 3,  Student Count: 2,  Pct: 3.85
Grade: W,  Credits: 3,  Student Count: 4,  Pct: 7.69
,,,
Course: AG 351  Student Total: 19  Credit Hours: 3  Grade Pts: 156.9  GPA Hours: 48  GPA: 3.27,,,
Grade: A,  Credits: 3,  Student Count: 11,  Pct: 57.89
Grade: B+,  Credits: 3,  Student Count: 1,  Pct: 5.26
Grade: C,  Credits: 3,  Student Count: 1,  Pct: 5.26
Grade: C+,  Credits: 3,  Student Count: 1,  Pct: 5.26
Grade: D-,  Credits: 3,  Student Count: 1,  Pct: 5.26
Grade: F,  Credits: 3,  Student Count: 1,  Pct: 5.26
Grade: W,  Credits: 3,  Student Count: 3,  Pct: 15.79
,,,
Course: AG 391  Student Total: 14  Credit Hours: 3  Grade Pts: 91.2  GPA Hours: 30  GPA: 3.04,,,
Grade: A,  Credits: 3,  Student Count: 6,  Pct: 42.86
Grade: A-,  Credits: 3,  Student Count: 1,  Pct: 7.14
Grade: B-,  Credits: 3,  Student Count: 1,  Pct: 7.14
Grade: F,  Credits: 3,  Student Count: 2,  Pct: 14.29
Grade: W,  Credits: 3,  Student Count: 4,  Pct: 28.57
,,,
Course: AG 410  Student Total: 12  Credit Hours: Variable  Grade Pts: 246  GPA Hours: 78  GPA: 3.15,,,
Grade: A,  Credits: 1,  Student Count: 2,  Pct: 16.67
Grade: A,  Credits: 4,  Student Count: 1,  Pct: 8.33
Grade: A,  Credits: 5,  Student Count: 1,  Pct: 8.33
Grade: A,  Credits: 6,  Student Count: 1,  Pct: 8.33
Grade: A,  Credits: 7,  Student Count: 1,  Pct: 8.33
Grade: A,  Credits: 8,  Student Count: 1,  Pct: 8.33
Grade: C,  Credits: 11,  Student Count: 1,  Pct: 8.33
Grade: F,  Credits: 11,  Student Count: 1,  Pct: 8.33
Grade: A,  Credits: 12,  Student Count: 2,  Pct: 16.67
Grade: I/F,  Credits: 12,  Student Count: 1,  Pct: 8.33
,,,
Course: AG 412  Student Total: 14  Credit Hours: 3  Grade Pts: 125.1  GPA Hours: 39  GPA: 3.21,,,
Grade: A,  Credits: 3,  Student Count: 7,  Pct: 50
Grade: A-,  Credits: 3,  Student Count: 2,  Pct: 14.29
Grade: B,  Credits: 3,  Student Count: 1,  Pct: 7.14
Grade: B+,  Credits: 3,  Student Count: 1,  Pct: 7.14
Grade: F,  Credits: 3,  Student Count: 2,  Pct: 14.29
Grade: W,  Credits: 3,  Student Count: 1,  Pct: 7.14
,,,
Course: AG 421  Student Total: 23  Credit Hours: 3  Grade Pts: 157.5  GPA Hours: 54  GPA: 2.92,,,
Grade: A,  Credits: 3,  Student Count: 5,  Pct: 21.74
Grade: A-,  Credits: 3,  Student Count: 4,  Pct: 17.39
Grade: B,  Credits: 3,  Student Count: 2,  Pct: 8.7
Grade: B-,  Credits: 3,  Student Count: 1,  Pct: 4.35
Grade: C,  Credits: 3,  Student Count: 2,  Pct: 8.7
Grade: C+,  Credits: 3,  Student Count: 1,  Pct: 4.35
Grade: D,  Credits: 3,  Student Count: 2,  Pct: 8.7
Grade: D-,  Credits: 3,  Student Count: 1,  Pct: 4.35
Grade: W,  Credits: 3,  Student Count: 5,  Pct: 21.74
,,,
Course: LEAD 242  Student Total: 17  Credit Hours: 3  Grade Pts: 87  GPA Hours: 33  GPA: 2.64,,,
Grade: A,  Credits: 3,  Student Count: 2,  Pct: 11.76
Grade: A-,  Credits: 3,  Student Count: 1,  Pct: 5.88
Grade: B,  Credits: 3,  Student Count: 3,  Pct: 17.65
Grade: B+,  Credits: 3,  Student Count: 1,  Pct: 5.88
Grade: B-,  Credits: 3,  Student Count: 1,  Pct: 5.88
Grade: C+,  Credits: 3,  Student Count: 1,  Pct: 5.88
Grade: F,  Credits: 3,  Student Count: 2,  Pct: 11.76
Grade: I/B,  Credits: 3,  Student Count: 1,  Pct: 5.88
Grade: I/D,  Credits: 3,  Student Count: 2,  Pct: 11.76
Grade: W,  Credits: 3,  Student Count: 3,  Pct: 17.65
,,,
Course: LEAD 442  Student Total: 13  Credit Hours: 3  Grade Pts: 64.2  GPA Hours: 21  GPA: 3.06,,,
Grade: A,  Credits: 3,  Student Count: 2,  Pct: 15.38
Grade: B,  Credits: 3,  Student Count: 1,  Pct: 7.69
Grade: B+,  Credits: 3,  Student Count: 1,  Pct: 7.69
Grade: B-,  Credits: 3,  Student Count: 2,  Pct: 15.38
Grade: C-,  Credits: 3,  Student Count: 1,  Pct: 7.69
